ID	kingdom	clade	phylum	class	subclass	order	family	genus	species
TARA_PSW_86_MAG_00313	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_ION_45_MAG_00189	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_MED_95_MAG_00520	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_SOC_28_MAG_00074	.	.	.	Haptophyceae	.	Phaeocystales	Phaeocystaceae	Phaeocystis	Phaeocystis antarctica
TARA_MED_95_MAG_00472	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_MED_95_MAG_00456	Metazoa	Opisthokonta	Chordata	Mammalia	.	Rodentia	.	.	.
TARA_ION_45_MAG_00153	Viridiplantae	.	Chlorophyta	Mamiellophyceae	.	Mamiellales	Mamiellaceae	Micromonas	Micromonas pusilla
TARA_SOC_28_MAG_00063	.	Sar	Bacillariophyta	Coscinodiscophyceae	.	.	.	.	.
TARA_AON_82_MAG_00125	.	Sar	Bacillariophyta	Dictyochophyceae	.	Florenciellales	.	Florenciella	Florenciella parvula
TARA_ARC_108_MAG_00288	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_PON_109_MAG_00270	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Calanoida	Temoridae	Eurytemora	Eurytemora affinis
TARA_IOS_50_MAG_00136	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
Metagenome_centric_SAG_TOSAG46_2	.	Sar	Bacillariophyta	Bacillariophyceae	.	Bacillariales	Bacillariaceae	Fragilariopsis	Fragilariopsis kerguelensis
TARA_MED_95_MAG_00410	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
TARA_AOS_82_MAG_00147	.	.	Bacillariophyta	Coscinodiscophyceae	Thalassiosirophycidae	Thalassiosirales	Thalassiosiraceae	Thalassiosira	Thalassiosira antarctica
TARA_MED_95_MAG_00420	Metazoa	Opisthokonta	Chordata	Choanoflagellata	.	Acanthoecida	Acanthoecidae	Acanthoeca	Salpingoeca rosetta
TARA_IOS_50_MAG_00163	Metazoa	Opisthokonta	Chordata	Mammalia	.	.	.	.	.
TARA_SOC_28_MAG_00060	.	.	Bacillariophyta	Coscinodiscophyceae	Chaetocerotophycidae	Chaetocerotales	Chaetocerotaceae	Chaetoceros	Chaetoceros debilis
TARA_IOS_50_MAG_00135	.	.	.	Dictyochophyceae	.	Pelagomonadales	.	Florenciella	Florenciella parvula
TARA_MED_95_MAG_00433	.	.	.	Haptophyceae	.	Prymnesiales	Prymnesiaceae	Haptolina	Chrysochromulina rotalis
TARA_MED_95_MAG_00418	Metazoa	Opisthokonta	Arthropoda	Hexanauplia	Copepoda	Harpacticoida	Harpacticidae	Tigriopus	Tigriopus californicus
