old_mag_name	new_mag_name
IO-all-DCM-0-8-5-00_bin-104	TOPAZ_IOD1_E001
IO-all-DCM-0-8-5-00_bin-107	TOPAZ_IOD1_E002
IO-all-DCM-0-8-5-00_bin-111	TOPAZ_IOD1_E003
IO-all-DCM-0-8-5-00_bin-12	TOPAZ_IOD1_E004
IO-all-DCM-0-8-5-00_bin-120	TOPAZ_IOD1_E005
IO-all-DCM-0-8-5-00_bin-130	TOPAZ_IOD1_E006
IO-all-DCM-0-8-5-00_bin-147	TOPAZ_IOD1_E007
IO-all-DCM-0-8-5-00_bin-157	TOPAZ_IOD1_E008
IO-all-DCM-0-8-5-00_bin-17	TOPAZ_IOD1_E009
IO-all-DCM-0-8-5-00_bin-21	TOPAZ_IOD1_E010
IO-all-DCM-0-8-5-00_bin-230	TOPAZ_IOD1_E011
IO-all-DCM-0-8-5-00_bin-306	TOPAZ_IOD1_E012
IO-all-DCM-0-8-5-00_bin-320	TOPAZ_IOD1_E013
IO-all-DCM-0-8-5-00_bin-323	TOPAZ_IOD1_E014
IO-all-DCM-0-8-5-00_bin-325	TOPAZ_IOD1_E015
IO-all-DCM-0-8-5-00_bin-344	TOPAZ_IOD1_E016
IO-all-DCM-0-8-5-00_bin-351	TOPAZ_IOD1_E017
IO-all-DCM-0-8-5-00_bin-353	TOPAZ_IOD1_E018
IO-all-DCM-0-8-5-00_bin-36	TOPAZ_IOD1_E019
IO-all-FSW-0-8-5-00_bin-66	TOPAZ_IOF1_E001
IO-all-FSW-0-8-5-00_bin-83	TOPAZ_IOF1_E002
IO-all-FSW-0-8-5-00_bin-88	TOPAZ_IOF1_E003
IO-all-MES-0-8-5-00_bin-188	TOPAZ_IOM1_E001
IO-all-MES-0-8-5-00_bin-223	TOPAZ_IOM1_E002
IO-all-MES-0-8-5-00_bin-262	TOPAZ_IOM1_E003
IO-all-MES-0-8-5-00_bin-59	TOPAZ_IOM1_E004
IO-all-SRF-0-8-5-00_bin-100	TOPAZ_IOS1_E001
IO-all-SRF-0-8-5-00_bin-105	TOPAZ_IOS1_E002
IO-all-SRF-0-8-5-00_bin-109	TOPAZ_IOS1_E003
IO-all-SRF-0-8-5-00_bin-113	TOPAZ_IOS1_E004
IO-all-SRF-0-8-5-00_bin-126	TOPAZ_IOS1_E005
IO-all-SRF-0-8-5-00_bin-141	TOPAZ_IOS1_E006
IO-all-SRF-0-8-5-00_bin-166	TOPAZ_IOS1_E007
IO-all-SRF-0-8-5-00_bin-174	TOPAZ_IOS1_E008
IO-all-SRF-0-8-5-00_bin-183	TOPAZ_IOS1_E009
IO-all-SRF-0-8-5-00_bin-21	TOPAZ_IOS1_E010
IO-all-SRF-0-8-5-00_bin-210	TOPAZ_IOS1_E011
IO-all-SRF-0-8-5-00_bin-22	TOPAZ_IOS1_E012
IO-all-SRF-0-8-5-00_bin-223	TOPAZ_IOS1_E013
IO-all-SRF-0-8-5-00_bin-243	TOPAZ_IOS1_E014
IO-all-SRF-0-8-5-00_bin-250	TOPAZ_IOS1_E015
IO-all-SRF-0-8-5-00_bin-251	TOPAZ_IOS1_E016
IO-all-SRF-0-8-5-00_bin-252	TOPAZ_IOS1_E017
IO-all-SRF-0-8-5-00_bin-256	TOPAZ_IOS1_E018
IO-all-SRF-0-8-5-00_bin-260	TOPAZ_IOS1_E019
IO-all-SRF-0-8-5-00_bin-290	TOPAZ_IOS1_E020
IO-all-SRF-0-8-5-00_bin-291	TOPAZ_IOS1_E021
IO-all-SRF-0-8-5-00_bin-298	TOPAZ_IOS1_E022
IO-all-SRF-0-8-5-00_bin-302	TOPAZ_IOS1_E023
IO-all-SRF-0-8-5-00_bin-307	TOPAZ_IOS1_E024
IO-all-SRF-0-8-5-00_bin-312	TOPAZ_IOS1_E025
IO-all-SRF-0-8-5-00_bin-325	TOPAZ_IOS1_E026
IO-all-SRF-0-8-5-00_bin-336	TOPAZ_IOS1_E027
IO-all-SRF-0-8-5-00_bin-34	TOPAZ_IOS1_E028
IO-all-SRF-0-8-5-00_bin-341	TOPAZ_IOS1_E029
IO-all-SRF-0-8-5-00_bin-348	TOPAZ_IOS1_E030
IO-all-SRF-0-8-5-00_bin-349	TOPAZ_IOS1_E031
IO-all-SRF-0-8-5-00_bin-351	TOPAZ_IOS1_E032
IO-all-SRF-0-8-5-00_bin-380	TOPAZ_IOS1_E033
IO-all-SRF-0-8-5-00_bin-402	TOPAZ_IOS1_E034
IO-all-SRF-0-8-5-00_bin-406	TOPAZ_IOS1_E035
IO-all-SRF-0-8-5-00_bin-446	TOPAZ_IOS1_E036
IO-all-SRF-0-8-5-00_bin-484	TOPAZ_IOS1_E037
IO-all-SRF-0-8-5-00_bin-502	TOPAZ_IOS1_E038
IO-all-SRF-0-8-5-00_bin-504	TOPAZ_IOS1_E039
IO-all-SRF-0-8-5-00_bin-529	TOPAZ_IOS1_E040
IO-all-SRF-0-8-5-00_bin-538	TOPAZ_IOS1_E041
IO-all-SRF-0-8-5-00_bin-548	TOPAZ_IOS1_E042
IO-all-SRF-0-8-5-00_bin-579	TOPAZ_IOS1_E043
IO-all-SRF-0-8-5-00_bin-591	TOPAZ_IOS1_E044
IO-all-SRF-0-8-5-00_bin-80	TOPAZ_IOS1_E045
IO-all-SRF-0-8-5-00_bin-89	TOPAZ_IOS1_E046
IO-all-DCM-180-2000-00_bin-20	TOPAZ_IOD4_E001
IO-all-DCM-180-2000-00_bin-25	TOPAZ_IOD4_E002
IO-all-SRF-180-2000-00_bin-21	TOPAZ_IOS4_E001
IO-all-SRF-180-2000-00_bin-30	TOPAZ_IOS4_E002
IO-all-SRF-180-2000-00_bin-40	TOPAZ_IOS4_E003
IO-all-SRF-180-2000-00_bin-43	TOPAZ_IOS4_E004
IO-all-SRF-180-2000-00_bin-44	TOPAZ_IOS4_E005
IO-all-SRF-180-2000-00_bin-48	TOPAZ_IOS4_E006
IO-all-SRF-180-2000-00_bin-56	TOPAZ_IOS4_E007
IO-all-SRF-180-2000-00_bin-58	TOPAZ_IOS4_E008
IO-all-SRF-180-2000-00_bin-62	TOPAZ_IOS4_E009
IO-all-SRF-180-2000-00_bin-7	TOPAZ_IOS4_E010
IO-all-SRF-180-2000-00_bin-72	TOPAZ_IOS4_E011
IO-all-SRF-180-2000-00_bin-79	TOPAZ_IOS4_E012
IO-all-SRF-180-2000-00_bin-83	TOPAZ_IOS4_E013
IO-all-SRF-180-2000-00_bin-90	TOPAZ_IOS4_E014
IO-all-SRF-180-2000-00_bin-96	TOPAZ_IOS4_E015
IO-all-DCM-20-180-00_bin-103	TOPAZ_IOD3_E001
IO-all-DCM-20-180-00_bin-105	TOPAZ_IOD3_E002
IO-all-DCM-20-180-00_bin-109	TOPAZ_IOD3_E003
IO-all-DCM-20-180-00_bin-117	TOPAZ_IOD3_E004
IO-all-DCM-20-180-00_bin-38	TOPAZ_IOD3_E005
IO-all-DCM-20-180-00_bin-48	TOPAZ_IOD3_E006
IO-all-DCM-20-180-00_bin-49	TOPAZ_IOD3_E007
IO-all-DCM-20-180-00_bin-54	TOPAZ_IOD3_E008
IO-all-DCM-20-180-00_bin-57	TOPAZ_IOD3_E009
IO-all-DCM-20-180-00_bin-62	TOPAZ_IOD3_E010
IO-all-DCM-20-180-00_bin-66	TOPAZ_IOD3_E011
IO-all-DCM-20-180-00_bin-74	TOPAZ_IOD3_E012
IO-all-DCM-20-180-00_bin-84	TOPAZ_IOD3_E013
IO-all-DCM-20-180-00_bin-97	TOPAZ_IOD3_E014
IO-all-SRF-20-180-00_bin-10	TOPAZ_IOS3_E001
IO-all-SRF-20-180-00_bin-109	TOPAZ_IOS3_E002
IO-all-SRF-20-180-00_bin-115	TOPAZ_IOS3_E003
IO-all-SRF-20-180-00_bin-119	TOPAZ_IOS3_E004
IO-all-SRF-20-180-00_bin-121	TOPAZ_IOS3_E005
IO-all-SRF-20-180-00_bin-128	TOPAZ_IOS3_E006
IO-all-SRF-20-180-00_bin-131	TOPAZ_IOS3_E007
IO-all-SRF-20-180-00_bin-144	TOPAZ_IOS3_E008
